"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
665,"2019-01-01 00:45:17.5270","2019-01-01 00:56:22.6710",377,"6 Ave & Canal St",40.72243797,-74.00566443,311,"Norfolk St & Broome St",40.7172274,-73.98802084,31245,"Subscriber",1987,1
100,"2019-01-01 00:45:32.6070","2019-01-01 00:47:12.7270",3286,"E 89 St & 3 Ave",40.7806284,-73.9521667,3305,"E 91 St & 2 Ave",40.78112229934166,-73.94965589046478,27766,"Subscriber",1999,1
659,"2019-01-01 00:45:41.3550","2019-01-01 00:56:40.7140",3141,"1 Ave & E 68 St",40.76500525,-73.95818491,461,"E 20 St & 2 Ave",40.73587678,-73.98205027,35789,"Subscriber",1985,1
1084,"2019-01-01 00:46:13.7060","2019-01-01 01:04:18.1030",3259,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606,285,"Broadway & E 14 St",40.73454567,-73.99074142,14656,"Subscriber",1973,1
2932,"2019-01-01 00:46:21.3110","2019-01-01 01:35:13.3210",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,3427,"Lafayette St & Jersey St",40.72430527250332,-73.99600982666016,34861,"Subscriber",1996,2
330,"2019-01-01 00:46:27.2080","2019-01-01 00:51:57.8080",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,31501,"Subscriber",1992,2
1091,"2019-01-01 00:47:30.6010","2019-01-01 01:05:42.2740",2010,"Grand St & Greene St",40.72165481,-74.00234737,3664,"North Moore St & Greenwich St",40.72019521437465,-74.0103006362915,30567,"Customer",1982,1
282,"2019-01-01 00:47:58.6860","2019-01-01 00:52:41.5200",504,"1 Ave & E 16 St",40.73221853,-73.98165557,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,17370,"Subscriber",1990,1
199,"2019-01-01 00:48:16.5870","2019-01-01 00:51:35.7370",3383,"Cathedral Pkwy & Broadway",40.804213,-73.96699104,3553,"Frederick Douglass Blvd & W 112 St",40.801694,-73.957145,15431,"Subscriber",1968,2
274,"2019-01-01 00:48:22.9620","2019-01-01 00:52:57.9360",504,"1 Ave & E 16 St",40.73221853,-73.98165557,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,16002,"Subscriber",1983,1
594,"2019-01-01 00:48:36.5400","2019-01-01 00:58:31.3100",495,"W 47 St & 10 Ave",40.76269882,-73.99301222,458,"11 Ave & W 27 St",40.751396,-74.005226,25863,"Subscriber",1965,1
297,"2019-01-01 00:48:36.5630","2019-01-01 00:53:34.4400",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,3170,"W 84 St & Columbus Ave",40.78499979,-73.97283406,32636,"Subscriber",1994,1
468,"2019-01-01 00:49:05.1410","2019-01-01 00:56:53.2090",195,"Liberty St & Broadway",40.70905623,-74.01043382,195,"Liberty St & Broadway",40.70905623,-74.01043382,20120,"Subscriber",1980,1
